Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species_Id
1,5.1,3.5,1.4,0.2,A
2,4.9,3,1.4,0.2,A
3,4.7,3.2,1.3,0.2,A
4,4.6,3.1,1.5,0.2,A
5,5,3.6,1.4,0.2,A
6,5.4,3.9,1.7,0.4,A
7,4.6,3.4,1.4,0.3,A
8,5,3.4,1.5,0.2,A
9,4.4,2.9,1.4,0.2,A
10,4.9,3.1,1.5,0.1,A
11,5.4,3.7,1.5,0.2,A
12,4.8,3.4,1.6,0.2,A
13,4.8,3,1.4,0.1,A
14,4.3,3,1.1,0.1,A
15,5.8,4,1.2,0.2,A
16,5.7,4.4,1.5,0.4,A
17,5.4,3.9,1.3,0.4,A
18,5.1,3.5,1.4,0.3,A
19,5.7,3.8,1.7,0.3,A
20,5.1,3.8,1.5,0.3,A
21,5.4,3.4,1.7,0.2,A
22,5.1,3.7,1.5,0.4,A
23,4.6,3.6,1,0.2,A
24,5.1,3.3,1.7,0.5,A
25,4.8,3.4,1.9,0.2,A
26,5,3,1.6,0.2,A
27,5,3.4,1.6,0.4,A
28,5.2,3.5,1.5,0.2,A
29,5.2,3.4,1.4,0.2,A
30,4.7,3.2,1.6,0.2,A
31,4.8,3.1,1.6,0.2,A
32,5.4,3.4,1.5,0.4,A
33,5.2,4.1,1.5,0.1,A
34,5.5,4.2,1.4,0.2,A
35,4.9,3.1,1.5,0.1,A
36,5,3.2,1.2,0.2,A
37,5.5,3.5,1.3,0.2,A
38,4.9,3.1,1.5,0.1,A
39,4.4,3,1.3,0.2,A
40,5.1,3.4,1.5,0.2,A
41,5,3.5,1.3,0.3,A
42,4.5,2.3,1.3,0.3,A
43,4.4,3.2,1.3,0.2,A
44,5,3.5,1.6,0.6,A
45,5.1,3.8,1.9,0.4,A
46,4.8,3,1.4,0.3,A
47,5.1,3.8,1.6,0.2,A
48,4.6,3.2,1.4,0.2,A
49,5.3,3.7,1.5,0.2,A
50,5,3.3,1.4,0.2,A
51,7,3.2,4.7,1.4,B
52,6.4,3.2,4.5,1.5,B
53,6.9,3.1,4.9,1.5,B
54,5.5,2.3,4,1.3,B
55,6.5,2.8,4.6,1.5,B
56,5.7,2.8,4.5,1.3,B
57,6.3,3.3,4.7,1.6,B
58,4.9,2.4,3.3,1,B
59,6.6,2.9,4.6,1.3,B
60,5.2,2.7,3.9,1.4,B
61,5,2,3.5,1,B
62,5.9,3,4.2,1.5,B
63,6,2.2,4,1,B
64,6.1,2.9,4.7,1.4,B
65,5.6,2.9,3.6,1.3,B
66,6.7,3.1,4.4,1.4,B
67,5.6,3,4.5,1.5,B
68,5.8,2.7,4.1,1,B
69,6.2,2.2,4.5,1.5,B
70,5.6,2.5,3.9,1.1,B
71,5.9,3.2,4.8,1.8,B
72,6.1,2.8,4,1.3,B
73,6.3,2.5,4.9,1.5,B
74,6.1,2.8,4.7,1.2,B
75,6.4,2.9,4.3,1.3,B
76,6.6,3,4.4,1.4,B
77,6.8,2.8,4.8,1.4,B
78,6.7,3,5,1.7,B
79,6,2.9,4.5,1.5,B
80,5.7,2.6,3.5,1,B
81,5.5,2.4,3.8,1.1,B
82,5.5,2.4,3.7,1,B
83,5.8,2.7,3.9,1.2,B
84,6,2.7,5.1,1.6,B
85,5.4,3,4.5,1.5,B
86,6,3.4,4.5,1.6,B
87,6.7,3.1,4.7,1.5,B
88,6.3,2.3,4.4,1.3,B
89,5.6,3,4.1,1.3,B
90,5.5,2.5,4,1.3,B
91,5.5,2.6,4.4,1.2,B
92,6.1,3,4.6,1.4,B
93,5.8,2.6,4,1.2,B
94,5,2.3,3.3,1,B
95,5.6,2.7,4.2,1.3,B
96,5.7,3,4.2,1.2,B
97,5.7,2.9,4.2,1.3,B
98,6.2,2.9,4.3,1.3,B
99,5.1,2.5,3,1.1,B
100,5.7,2.8,4.1,1.3,B
101,6.3,3.3,6,2.5,C
102,5.8,2.7,5.1,1.9,C
103,7.1,3,5.9,2.1,C
104,6.3,2.9,5.6,1.8,C
105,6.5,3,5.8,2.2,C
106,7.6,3,6.6,2.1,C
107,4.9,2.5,4.5,1.7,C
108,7.3,2.9,6.3,1.8,C
109,6.7,2.5,5.8,1.8,C
110,7.2,3.6,6.1,2.5,C
111,6.5,3.2,5.1,2,C
112,6.4,2.7,5.3,1.9,C
113,6.8,3,5.5,2.1,C
114,5.7,2.5,5,2,C
115,5.8,2.8,5.1,2.4,C
116,6.4,3.2,5.3,2.3,C
117,6.5,3,5.5,1.8,C
118,7.7,3.8,6.7,2.2,C
119,7.7,2.6,6.9,2.3,C
120,6,2.2,5,1.5,C
121,6.9,3.2,5.7,2.3,C
122,5.6,2.8,4.9,2,C
123,7.7,2.8,6.7,2,C
124,6.3,2.7,4.9,1.8,C
125,6.7,3.3,5.7,2.1,C
126,7.2,3.2,6,1.8,C
127,6.2,2.8,4.8,1.8,C
128,6.1,3,4.9,1.8,C
129,6.4,2.8,5.6,2.1,C
130,7.2,3,5.8,1.6,C
131,7.4,2.8,6.1,1.9,C
132,7.9,3.8,6.4,2,C
133,6.4,2.8,5.6,2.2,C
134,6.3,2.8,5.1,1.5,C
135,6.1,2.6,5.6,1.4,C
136,7.7,3,6.1,2.3,C
137,6.3,3.4,5.6,2.4,C
138,6.4,3.1,5.5,1.8,C
139,6,3,4.8,1.8,C
140,6.9,3.1,5.4,2.1,C
141,6.7,3.1,5.6,2.4,C
142,6.9,3.1,5.1,2.3,C
143,5.8,2.7,5.1,1.9,C
144,6.8,3.2,5.9,2.3,C
145,6.7,3.3,5.7,2.5,C
146,6.7,3,5.2,2.3,C
147,6.3,2.5,5,1.9,C
148,6.5,3,5.2,2,C
149,6.2,3.4,5.4,2.3,C
150,5.9,3,5.1,1.8,C
